# ref | resourceId | date | start | end | studentId | createdAt
BK-1001 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | S-1 | 2026-06-04T16:35:48
*DELETED* BK-1002 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | S-1 | 2026-06-04T16:42:02
BK-1003 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | S-1 | 2026-06-04T16:35:48
BK-1004 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | S-1 | 2026-06-04T16:35:48
BK-1005 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | S-1 | 2026-06-04T16:35:48
BK-1007 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | S-1 | 2026-06-04T16:35:48
BK-1008 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | S-1 | 2026-06-04T16:35:48
BK-1009 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | S-1 | 2026-06-04T16:35:48
BK-1010 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | S-1 | 2026-06-04T16:35:48
BK-1011 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | S-1 | 2026-06-04T16:35:48
BK-1012 | KA-P1 | 2026-07-01 | 10:00 | 11:00 | S-1 | 2026-06-04T16:35:48
